gold,us_2_year_bond,us_3_month_bond,us_5_year_bond,us_10_year_bond,date
1340.00000,1.87100,2.19500,1.85200,2.09100,2019-06-06
1347.80005,1.86400,2.22600,1.83100,2.05800,2019-06-07
1345.80005,1.74100,2.18200,1.76500,2.02900,2019-06-08
1394.09998,1.77500,2.13600,1.77600,2.02300,2019-06-09
1397.30005,1.77200,2.11000,1.79700,2.05900,2019-06-10
1397.30005,1.77200,2.11000,1.79700,2.05900,2019-06-11
1397.30005,1.77200,2.11000,1.79700,2.05900,2019-06-12
1415.19995,1.73400,2.11200,1.74700,2.01800,2019-06-13
1415.80005,1.73600,2.13900,1.72900,1.98800,2019-06-14
1411.50000,1.77500,2.14900,1.79800,2.05000,2019-06-15
1412.00000,1.74700,2.14400,1.77000,2.01400,2019-06-16
1413.69995,1.75700,2.10000,1.76800,2.00700,2019-06-17
1413.69995,1.75700,2.10000,1.76800,2.00700,2019-06-18
1413.69995,1.75700,2.10000,1.76800,2.00700,2019-06-19
1389.30005,1.79100,2.12500,1.79600,2.03300,2019-06-20
1408.00000,1.76300,2.20500,1.74300,1.97600,2019-06-21
1420.90002,1.76400,2.20800,1.73700,1.95300,2019-06-22
1400.09998,1.76200,2.20800,1.73000,1.94800,2019-06-23
1400.09998,1.86700,2.21800,1.83700,2.03900,2019-06-24
1400.09998,1.86700,2.21800,1.83700,2.03900,2019-06-25
1400.09998,1.86700,2.21800,1.83700,2.03900,2019-06-26
1400.00000,1.88800,2.24100,1.85400,2.04800,2019-06-27
1400.50000,1.91900,2.25400,1.88900,2.07200,2019-06-28
1412.50000,1.82800,2.19000,1.82800,2.06100,2019-06-29
1406.69995,1.86900,2.15700,1.89900,2.14300,2019-06-30
1412.19995,1.84500,2.15100,1.87100,2.12400,2019-07-01
1412.19995,1.84500,2.15100,1.87100,2.12400,2019-07-02
1412.19995,1.84500,2.15100,1.87100,2.12400,2019-07-03
1413.50000,1.83500,2.14300,1.84600,2.09000,2019-07-04
1411.19995,1.85400,2.15900,1.87100,2.10600,2019-07-05
1423.30005,1.81100,2.12800,1.81100,2.04300,2019-07-06
1428.09998,1.75600,2.06900,1.76600,2.02600,2019-07-07
1426.69995,1.82400,2.06600,1.81600,2.05700,2019-07-08
1426.69995,1.82400,2.06600,1.81600,2.05700,2019-07-09
1426.69995,1.82400,2.06600,1.81600,2.05700,2019-07-10
1426.90002,1.81600,2.08200,1.80500,2.05000,2019-07-11
1421.69995,1.83700,2.09200,1.82800,2.07800,2019-07-12
1423.59998,1.82200,2.09500,1.81500,2.05000,2019-07-13
1414.69995,1.86800,2.11000,1.86200,2.08300,2019-07-14
1419.30005,1.86000,2.11800,1.85400,2.07400,2019-07-15
1419.30005,1.86000,2.11800,1.85400,2.07400,2019-07-16
1419.30005,1.86000,2.11800,1.85400,2.07400,2019-07-17
1420.40002,1.85600,2.10500,1.84400,2.06300,2019-07-18
1433.40002,1.84800,2.09500,1.84200,2.06000,2019-07-19
1429.09998,1.86800,2.08500,1.82200,2.00700,2019-07-20
1424.19995,1.75000,2.08500,1.69300,1.90200,2019-07-21
1448.69995,1.71000,2.06400,1.66100,1.84300,2019-07-22
1448.69995,1.71000,2.06400,1.66100,1.84300,2019-07-23
1448.69995,1.71000,2.06400,1.66100,1.84300,2019-07-24
1467.69995,1.57900,2.01500,1.52800,1.71800,2019-07-25
1475.19995,1.59700,2.04900,1.52600,1.71600,2019-07-26
1509.59998,1.60300,2.02100,1.54200,1.72100,2019-07-27
1499.69995,1.61700,2.02300,1.54400,1.71900,2019-07-28
1498.59998,1.64900,2.00200,1.57900,1.74500,2019-07-29
1498.59998,1.64900,2.00200,1.57900,1.74500,2019-07-30
1498.59998,1.64900,2.00200,1.57900,1.74500,2019-07-31
1507.69995,1.57800,1.98400,1.48600,1.64000,2019-08-01
1504.30005,1.67100,2.00800,1.58600,1.70200,2019-08-02
1518.50000,1.58100,1.95900,1.49400,1.58300,2019-08-03
1521.69995,1.47300,1.90200,1.39600,1.50200,2019-08-04
1514.09998,1.48700,1.87100,1.42300,1.56200,2019-08-05
1514.09998,1.48700,1.87100,1.42300,1.56200,2019-08-06
1514.09998,1.48700,1.87100,1.42300,1.56200,2019-08-07
1502.09998,1.55300,1.90700,1.48000,1.60800,2019-08-08
1506.30005,1.51000,1.95100,1.42800,1.55200,2019-08-09
1506.09998,1.57500,1.97400,1.47400,1.59100,2019-08-10
1498.69995,1.61200,1.99200,1.49800,1.61300,2019-08-11
1527.90002,1.53100,1.96400,1.41400,1.53300,2019-08-12
1527.90002,1.53100,1.96400,1.41400,1.53300,2019-08-13
1527.90002,1.53100,1.96400,1.41400,1.53300,2019-08-14
1527.19995,1.54300,1.98700,1.41900,1.53800,2019-08-15
1541.40002,1.52400,1.99500,1.38100,1.47400,2019-08-16
1538.80005,1.50000,1.99200,1.37400,1.46800,2019-08-17
1530.50000,1.52600,1.99200,1.39600,1.49600,2019-08-18
1523.00000,1.51000,1.98700,1.39100,1.49900,2019-08-19
1523.00000,1.51000,1.98700,1.39100,1.49900,2019-08-20
1523.00000,1.51000,1.98700,1.39100,1.49900,2019-08-21
1555.90002,1.50800,1.98900,1.39000,1.50600,2019-08-22
1549.59998,1.45400,1.96400,1.33400,1.46200,2019-08-23
1554.00000,1.43600,1.96700,1.32100,1.47100,2019-08-24
1519.00000,1.53400,1.97200,1.43400,1.56500,2019-08-25
1509.00000,1.54000,1.96400,1.43100,1.56000,2019-08-26
1509.00000,1.54000,1.96400,1.43100,1.56000,2019-08-27
1509.00000,1.54000,1.96400,1.43100,1.56000,2019-08-28
1504.50000,1.59500,1.96400,1.50000,1.64700,2019-08-29
1492.69995,1.68800,1.96200,1.60300,1.74400,2019-08-30
