Date,Price,Open,High,Low
12-30-1993,5.787,5.787,5.787,5.787
12-29-1993,5.694,5.694,5.694,5.694
12-28-1993,5.694,5.694,5.694,5.694
12-27-1993,5.685,5.685,5.685,5.685
12-23-1993,5.689,5.689,5.689,5.689
12-22-1993,5.706,5.706,5.706,5.706
12-21-1993,5.815,5.815,5.815,5.815
12-20-1993,5.809,5.809,5.809,5.809
12-17-1993,5.766,5.766,5.766,5.766
12-16-1993,5.811,5.811,5.811,5.811
12-15-1993,5.8,5.8,5.8,5.8
12-14-1993,5.811,5.811,5.811,5.811
12-13-1993,5.761,5.761,5.761,5.761
12-10-1993,5.728,5.728,5.728,5.728
12-09-1993,5.651,5.651,5.651,5.651
12-08-1993,5.681,5.681,5.681,5.681
12-07-1993,5.683,5.683,5.683,5.683
12-06-1993,5.685,5.685,5.685,5.685
12-03-1993,5.751,5.751,5.751,5.751
12-02-1993,5.791,5.791,5.791,5.791
12-01-1993,5.774,5.774,5.774,5.774
11-30-1993,5.817,5.817,5.817,5.817
11-29-1993,5.74,5.74,5.74,5.74
11-26-1993,5.744,5.744,5.744,5.744
11-24-1993,5.803,5.803,5.803,5.803
11-23-1993,5.864,5.864,5.864,5.864
11-22-1993,5.871,5.871,5.871,5.871
11-19-1993,5.825,5.825,5.825,5.825
11-18-1993,5.702,5.702,5.702,5.702
11-17-1993,5.635,5.635,5.635,5.635
11-16-1993,5.625,5.625,5.625,5.625
11-15-1993,5.647,5.647,5.647,5.647
11-12-1993,5.646,5.646,5.646,5.646
11-11-1993,5.702,5.702,5.702,5.702
11-10-1993,5.675,5.675,5.675,5.675
11-09-1993,5.623,5.623,5.623,5.623
11-08-1993,5.648,5.648,5.648,5.648
11-05-1993,5.728,5.728,5.728,5.728
11-04-1993,5.69,5.69,5.69,5.69
11-03-1993,5.634,5.634,5.634,5.634
11-02-1993,5.604,5.604,5.604,5.604
11-01-1993,5.475,5.475,5.475,5.475
10-29-1993,5.42,5.42,5.42,5.42
10-28-1993,5.462,5.462,5.462,5.462
10-27-1993,5.397,5.397,5.397,5.397
10-26-1993,5.392,5.392,5.392,5.392
10-25-1993,5.421,5.421,5.421,5.421
10-22-1993,5.401,5.401,5.401,5.401
10-21-1993,5.332,5.332,5.332,5.332
10-20-1993,5.229,5.229,5.229,5.229
10-19-1993,5.239,5.239,5.239,5.239
10-18-1993,5.251,5.251,5.251,5.251
10-15-1993,5.151,5.151,5.151,5.151
10-14-1993,5.212,5.212,5.212,5.212
10-13-1993,5.264,5.264,5.264,5.264
10-12-1993,5.256,5.256,5.256,5.256
10-11-1993,5.3,5.3,5.3,5.3
10-08-1993,5.248,5.248,5.248,5.248
10-07-1993,5.323,5.323,5.323,5.323
10-06-1993,5.321,5.321,5.321,5.321
10-05-1993,5.333,5.333,5.333,5.333
10-04-1993,5.321,5.321,5.321,5.321
10-01-1993,5.329,5.329,5.329,5.329
09-30-1993,5.374,5.374,5.374,5.374
09-29-1993,5.346,5.346,5.346,5.346
09-28-1993,5.278,5.278,5.278,5.278
09-27-1993,5.286,5.286,5.286,5.286
09-24-1993,5.387,5.387,5.387,5.387
09-23-1993,5.427,5.427,5.427,5.427
09-22-1993,5.423,5.423,5.423,5.423
09-21-1993,5.432,5.432,5.432,5.432
09-20-1993,5.422,5.422,5.422,5.422
09-17-1993,5.379,5.379,5.379,5.379
09-16-1993,5.359,5.359,5.359,5.359
09-15-1993,5.363,5.363,5.363,5.363
09-14-1993,5.355,5.355,5.355,5.355
09-13-1993,5.263,5.263,5.263,5.263
09-10-1993,5.277,5.277,5.277,5.277
09-09-1993,5.304,5.304,5.304,5.304
09-08-1993,5.224,5.224,5.224,5.224
09-07-1993,5.226,5.226,5.226,5.226
09-03-1993,5.288,5.288,5.288,5.288
09-02-1993,5.405,5.405,5.405,5.405
09-01-1993,5.449,5.449,5.449,5.449
08-31-1993,5.446,5.446,5.446,5.446
08-30-1993,5.434,5.434,5.434,5.434
08-27-1993,5.478,5.478,5.478,5.478
08-26-1993,5.416,5.416,5.416,5.416
08-25-1993,5.491,5.491,5.491,5.491
08-24-1993,5.55,5.55,5.55,5.55
08-23-1993,5.601,5.601,5.601,5.601
08-20-1993,5.607,5.607,5.607,5.607
08-19-1993,5.638,5.638,5.638,5.638
08-18-1993,5.673,5.673,5.673,5.673
08-17-1993,5.704,5.704,5.704,5.704
08-16-1993,5.68,5.68,5.68,5.68
08-13-1993,5.713,5.713,5.713,5.713
