gold,oil,us_dollar,usd_vnd,cpi,inflation_rate,interest_rate,date
1281.3,62.04,97.26,23249.0,255.296,0.0,2.39,2019-05-01
1281.3,62.04,97.26,23249.0,255.296,0.0,2.39,2019-05-02
1283.8,62.37,97.268,23280.0,255.296,0.0,2.39,2019-05-03
1285.6,61.51,97.399,23290.0,255.296,0.0,2.39,2019-05-04
1281.4,62.22,97.388,23365.0,255.296,0.0,2.39,2019-05-05
1285.2,61.81,97.164,23380.0,255.296,0.0,2.39,2019-05-06
1287.4,61.8,97.125,23345.0,255.296,0.0,2.39,2019-05-07
1287.4,61.8,97.125,23345.0,255.296,0.0,2.39,2019-05-08
1287.4,61.8,97.125,23345.0,255.296,0.0,2.39,2019-05-09
1301.8,61.21,97.12,23325.0,255.296,0.0,2.39,2019-05-10
1296.3,61.96,97.322,23375.0,255.296,0.0,2.39,2019-05-11
1297.8,62.24,97.376,23300.0,255.296,0.0,2.39,2019-05-12
1286.2,63.059998,97.678,23300.0,255.296,0.0,2.39,2019-05-13
1275.7,62.92,97.824,23388.0,255.296,0.0,2.39,2019-05-14
1275.7,62.92,97.824,23388.0,255.296,0.0,2.39,2019-05-15
1275.7,62.92,97.824,23388.0,255.296,0.0,2.39,2019-05-16
1277.3,63.21,97.764,23400.0,255.296,0.0,2.39,2019-05-17
1273.2,63.13,97.896,23390.0,255.296,0.0,2.39,2019-05-18
1274.2,61.5,97.881,23370.0,255.296,0.0,2.39,2019-05-19
1285.4,57.989998,97.723,23388.0,255.296,0.0,2.39,2019-05-20
1283.6,58.71,97.477,23380.0,255.296,0.0,2.39,2019-05-21
1283.6,58.71,97.477,23380.0,255.296,0.0,2.39,2019-05-22
1283.6,58.77,97.477,23380.0,255.296,0.0,2.39,2019-05-23
1277.1,59.16,97.477,23386.0,255.296,0.0,2.39,2019-05-24
1277.1,59.35,97.842,23392.0,255.296,0.0,2.39,2019-05-25
1281.0,58.95,98.035,23406.0,255.296,0.0,2.39,2019-05-26
1289.9,56.740005,98.053,23415.0,255.296,0.0,2.39,2019-05-27
1308.0,53.64,97.666,23410.0,255.296,0.0,2.39,2019-05-28
1308.0,53.64,97.666,23410.0,255.21298,0.0,2.38,2019-05-29
1308.0,53.64,97.666,23410.0,255.21298,0.0,2.38,2019-05-30
1324.9,53.38,97.06,23393.0,255.21298,0.0,2.38,2019-05-31
1325.7,53.63,96.999,23395.0,255.21298,0.0,2.38,2019-06-01
1330.6,51.83,97.251,23412.0,255.21298,0.0,2.38,2019-06-02
1339.8,52.73,96.997,23402.0,255.21298,0.0,2.38,2019-06-03
1343.3,54.16,96.49,23395.0,255.21298,0.0,2.38,2019-06-04
1343.3,54.16,96.49,23395.0,255.21298,0.0,2.38,2019-06-05
1343.3,54.16,96.49,23395.0,255.21298,0.0,2.38,2019-06-06
