"Date","Price","Open","High","Low","Vol.","Change %"
"10/27/1993","95.370","95.150","95.520","95.050","1.92K","0.07%"
"10/26/1993","95.300","95.480","95.600","95.030","2.59K","-0.05%"
"10/25/1993","95.350","94.960","95.500","94.590","5.42K","0.26%"
"10/22/1993","95.100","94.760","95.200","94.600","2.72K","0.31%"
"10/21/1993","94.810","93.830","94.940","93.840","3.81K","0.99%"
"10/20/1993","93.880","94.120","94.400","93.750","2.29K","-0.18%"
"10/19/1993","94.050","94.050","94.180","93.700","0.95K","-0.02%"
"10/18/1993","94.070","93.350","94.250","93.350","3.27K","0.91%"
"10/15/1993","93.220","92.960","93.380","92.950","1.33K","0.17%"
"10/14/1993","93.060","92.280","93.250","92.230","2.82K","0.64%"
"10/13/1993","92.470","91.900","92.550","91.920","4.18K","0.61%"
"10/12/1993","91.910","92.280","92.380","91.770","2.30K","-0.45%"
"10/11/1993","92.330","92.220","92.450","92.000","0.36K","0.10%"
"10/08/1993","92.240","93.050","93.100","92.040","4.73K","-0.87%"
"10/07/1993","93.050","92.970","93.190","92.790","0.27K","0.08%"
"10/06/1993","92.980","93.200","93.390","92.760","1.89K","-0.26%"
"10/05/1993","93.220","93.080","93.350","92.680","2.25K","0.09%"
"10/04/1993","93.140","94.400","94.450","92.900","1.03K","-0.41%"
"10/01/1993","93.520","93.560","94.200","93.260","2.02K","-0.17%"
"09/30/1993","93.680","92.800","93.800","92.800","3.17K","1.02%"
"09/29/1993","92.730","92.650","92.860","92.420","1.99K","0.09%"
"09/28/1993","92.650","93.110","93.450","92.370","2.33K","-0.47%"
"09/27/1993","93.090","93.000","93.350","92.960","1.77K","-0.34%"
"09/24/1993","93.410","93.700","94.300","93.400","1.38K","-0.27%"
"09/23/1993","93.660","93.240","93.960","93.200","2.60K","0.45%"
"09/22/1993","93.240","93.720","93.720","92.920","1.61K","-0.68%"
"09/21/1993","93.880","92.150","94.100","92.070","5.54K","1.78%"
"09/20/1993","92.240","92.300","92.620","92.100","0.37K","-0.07%"
"09/17/1993","92.300","91.850","92.500","91.900","2.65K","0.53%"
"09/16/1993","91.810","91.540","92.400","91.320","0.97K","1.64%"
"09/15/1993","90.330","91.220","91.200","90.300","0.07K","-0.99%"
"09/14/1993","91.230","91.100","91.530","91.030","1.19K","-0.05%"
"09/13/1993","91.280","90.890","91.400","90.740","0.13K","0.47%"
"09/10/1993","90.850","91.160","91.440","90.640","0.18K","-0.30%"
"09/09/1993","91.120","91.820","91.830","90.720","0.27K","-0.74%"
