gold,us_2_year_bond,us_3_month_bond,us_5_year_bond,us_10_year_bond,date
3279.878,3.957828,4.2413993,4.056072,4.474013,2025-06-07
3308.4033,3.9835303,4.2347302,4.156139,4.596139,2025-06-08
3291.4653,3.973043,4.2140455,4.1012616,4.543844,2025-06-09
3362.7915,3.945782,4.2309093,4.0782466,4.5098844,2025-06-10
3363.754,3.9394815,4.2271256,4.0894337,4.513472,2025-06-11
3362.6177,3.9375367,4.229264,4.0691595,4.500608,2025-06-12
3363.3826,3.9383602,4.233345,4.079731,4.5110483,2025-06-13
3298.808,3.9697952,4.2049127,4.0141363,4.4234242,2025-06-14
3293.941,3.9785237,4.2271223,4.0668964,4.4781795,2025-06-15
3316.6177,3.9349024,4.225943,3.9944649,4.419347,2025-06-16
3288.9734,3.9074695,4.233449,3.9850736,4.417205,2025-06-17
3311.9814,3.842772,4.2276278,3.974889,4.41052,2025-06-18
3312.2798,3.8452046,4.228311,3.9781954,4.4135914,2025-06-19
3369.9348,3.871507,4.22539,4.01105,4.456312,2025-06-20
3383.1833,3.9009821,4.234917,4.026048,4.4587665,2025-06-21
3393.5786,3.9037445,4.2416897,3.9361768,4.3648753,2025-06-22
3350.1653,3.8447502,4.2296824,3.9873562,4.390989,2025-06-23
