gold,russell2000,dow_jones,msci_world,nasdaq100,s_p500,date
3364.9082,2039.1091,41572.062,3803.7566,18739.441,5798.3105,2025-05-31
3364.9988,2039.217,41595.918,3805.6768,18740.938,5800.677,2025-06-01
3366.0188,2040.4817,41623.113,3803.561,18744.645,5802.5737,2025-06-02
3362.5815,2038.8536,41614.125,3812.3835,18735.645,5801.528,2025-06-03
3299.6921,2090.709,42359.273,3869.7139,19203.92,5920.9775,2025-06-04
3293.459,2067.146,42105.99,3845.632,19102.46,5886.907,2025-06-05
3317.0532,2074.4978,42226.582,3862.5964,19177.709,5910.847,2025-06-06
