gold,us_2_year_bond,us_3_month_bond,us_5_year_bond,us_10_year_bond,date
3240.388,3.9625168,4.2815223,4.1203375,4.495443,2025-05-31
3182.0005,4.0006604,4.2826777,4.1601057,4.5243387,2025-06-01
3221.2317,3.9350843,4.278085,4.076063,4.458039,2025-06-02
3182.4255,3.9825637,4.240161,4.076945,4.452627,2025-06-03
3181.5745,3.9710138,4.2279615,4.047532,4.430314,2025-06-04
3182.2773,3.9706023,4.239123,4.063357,4.4375978,2025-06-05
3229.833,3.971092,4.2298675,4.0695734,4.468201,2025-06-06
3279.8684,3.9671905,4.2435517,4.063155,4.4794226,2025-06-07
3308.9822,3.984179,4.2330494,4.1633744,4.6041093,2025-06-08
3292.0725,3.9727676,4.2198067,4.1047463,4.5508018,2025-06-09
3363.1008,3.9441426,4.2273583,4.0800824,4.5091066,2025-06-10
3363.8464,3.939758,4.230768,4.0766816,4.5079875,2025-06-11
3363.7734,3.9371626,4.2311063,4.074689,4.5038767,2025-06-12
3363.7317,3.9452527,4.236472,4.08246,4.511237,2025-06-13
3298.9724,3.9748805,4.2003164,4.0226216,4.433814,2025-06-14
3293.5977,3.9778562,4.221617,4.063668,4.476587,2025-06-15
3317.0679,3.9343183,4.230178,3.9983764,4.4245157,2025-06-16
