gold,russell2000,dow_jones,msci_world,nasdaq100,s_p500,date
3299.589,2091.3914,42382.324,3872.4453,19207.508,5923.0244,2025-06-04
3294.2263,2068.0247,42111.285,3845.8508,19104.273,5887.726,2025-06-05
3317.5737,2074.8806,42233.164,3864.7688,19180.184,5911.718,2025-06-06
3288.887,2065.961,42281.81,3862.9075,19116.533,5910.1333,2025-06-07
3312.7698,2066.1152,42289.984,3863.511,19114.656,5911.065,2025-06-08
3313.1194,2066.0757,42274.457,3862.9307,19114.701,5910.028,2025-06-09
3370.5864,2069.9355,42320.46,3881.884,19245.76,5934.9575,2025-06-10
