gold,oil,us_dollar,usd_vnd,cpi,inflation_rate,interest_rate,date
3363.3403,61.295067,99.74177,25895.158,319.6192,-0.09927341,4.3306794,2025-05-30
3293.364,61.854992,99.845314,25901.451,319.61908,-0.099247456,4.330746,2025-05-31
