gold,us_2_year_bond,us_3_month_bond,us_5_year_bond,us_10_year_bond,date
3181.1343,3.983351,4.2331614,4.0648603,4.4372272,2025-06-04
3183.2659,3.9827423,4.2418385,4.0722284,4.444488,2025-06-05
3229.1223,3.9735935,4.235121,4.0755453,4.469916,2025-06-06
3279.6528,3.9623,4.237373,4.0634513,4.476387,2025-06-07
3309.6199,3.9874492,4.235655,4.159977,4.598694,2025-06-08
3292.225,3.9659781,4.2196517,4.1023045,4.5467153,2025-06-09
3363.0947,3.947713,4.2352076,4.076841,4.513839,2025-06-10
3363.955,3.9399755,4.229477,4.080253,4.5109715,2025-06-11
3363.7532,3.9321685,4.228464,4.0667624,4.502152,2025-06-12
3364.215,3.947817,4.2422957,4.085851,4.5141487,2025-06-13
3298.7046,3.969625,4.2007093,4.012065,4.422435,2025-06-14
3293.837,3.9866655,4.230597,4.0693254,4.4807215,2025-06-15
3317.3418,3.9361286,4.2281866,4.000414,4.42347,2025-06-16
3288.646,3.9137564,4.2319946,3.9834828,4.420226,2025-06-17
3312.876,3.8477159,4.230812,3.9785557,4.415071,2025-06-18
3312.9753,3.845016,4.2311816,3.9752965,4.415182,2025-06-19
3370.5505,3.871951,4.2313957,4.01613,4.4604917,2025-06-20
