gold,us_2_year_bond,us_3_month_bond,us_5_year_bond,us_10_year_bond,date
3184.418,3.9812026,4.242405,4.077987,4.450249,2025-06-05
3229.8901,3.9670653,4.232606,4.0783195,4.4704003,2025-06-06
3279.7197,3.9568198,4.2386646,4.059756,4.476887,2025-06-07
3309.075,3.984764,4.2377887,4.1597514,4.6027784,2025-06-08
3292.3604,3.9657717,4.2109385,4.0978155,4.5417957,2025-06-09
3362.4397,3.952521,4.239377,4.0817733,4.5142183,2025-06-10
3364.413,3.94345,4.234116,4.0831423,4.513858,2025-06-11
3363.5989,3.934512,4.232185,4.066519,4.498276,2025-06-12
3364.3596,3.9478145,4.2459345,4.0883474,4.5175366,2025-06-13
3299.5015,3.9609501,4.198912,4.0113034,4.418225,2025-06-14
3294.45,3.9814403,4.2329845,4.069618,4.4802113,2025-06-15
3318.0264,3.9316583,4.2305603,4.000821,4.4253674,2025-06-16
3289.066,3.9105735,4.234273,3.9834797,4.4203014,2025-06-17
3313.1904,3.84476,4.2310853,3.9800205,4.416306,2025-06-18
3313.2205,3.842796,4.2294536,3.9758685,4.4134803,2025-06-19
3370.8435,3.8702776,4.23177,4.0159125,4.46046,2025-06-20
3383.7087,3.900676,4.235222,4.0284524,4.4598327,2025-06-21
