gold,russell2000,dow_jones,msci_world,nasdaq100,s_p500,date
3295.0354,2068.2195,42121.258,3850.2344,19111.93,5888.8237,2025-06-05
3318.363,2075.435,42250.246,3864.2834,19181.463,5913.023,2025-06-06
3289.3682,2065.9727,42278.355,3864.987,19112.17,5909.823,2025-06-07
3312.628,2066.1318,42277.203,3860.3416,19113.893,5909.711,2025-06-08
3312.758,2065.8647,42282.348,3862.0134,19115.969,5910.5186,2025-06-09
3370.1726,2069.4949,42314.426,3880.4702,19244.28,5934.067,2025-06-10
3383.499,2102.7043,42532.633,3895.074,19401.686,5969.1733,2025-06-11
