gold,us_2_year_bond,us_3_month_bond,us_5_year_bond,us_10_year_bond,date
3364.587,3.9436438,4.2364554,4.0920258,4.5190964,2025-06-11
3362.0007,3.9401634,4.230952,4.074241,4.505754,2025-06-12
3363.5254,3.9376488,4.238869,4.074173,4.509787,2025-06-13
3299.5293,3.9681907,4.204404,4.0120554,4.4198456,2025-06-14
3294.5657,3.978663,4.2362285,4.072362,4.4791894,2025-06-15
3317.4167,3.9336267,4.227604,4.001135,4.425177,2025-06-16
3289.1045,3.9159205,4.233973,3.987581,4.4253807,2025-06-17
3312.5667,3.850206,4.226487,3.9781902,4.4182367,2025-06-18
3312.6042,3.8458962,4.224572,3.9761064,4.4151373,2025-06-19
3370.5251,3.8743637,4.2311535,4.0156965,4.460243,2025-06-20
3383.1428,3.9024773,4.2389946,4.031603,4.462275,2025-06-21
3393.4836,3.9098718,4.2415724,3.9376204,4.3693323,2025-06-22
3350.2493,3.8540907,4.235756,3.995738,4.4000072,2025-06-23
3350.491,3.8486905,4.2341213,3.9905121,4.395817,2025-06-24
3350.7192,3.8484225,4.2361293,3.9897397,4.394901,2025-06-25
3350.739,3.8503206,4.235852,3.9889894,4.395067,2025-06-26
3338.445,3.976309,4.241328,4.0879583,4.4834466,2025-06-27
