"Date","Price","Open","High","Low","Change %"
"04/28/2021","1.147","1.143","1.147","1.143","0.35%"
"04/27/2021","1.143","1.123","1.143","1.123","1.78%"
"04/26/2021","1.123","1.123","1.123","1.123","0.36%"
"04/23/2021","1.119","1.089","1.119","1.089","2.75%"
"04/22/2021","1.089","1.095","1.095","1.089","4.21%"
"04/21/2021","1.045","1.044","1.045","1.044","-4.57%"
"04/20/2021","1.095","1.105","1.105","1.095","-0.90%"
"04/19/2021","1.105","1.103","1.105","1.103","0.18%"
"04/16/2021","1.103","1.097","1.103","1.097","0.55%"
"04/15/2021","1.097","1.120","1.120","1.097","-2.05%"
"04/14/2021","1.120","1.125","1.125","1.120","-0.44%"
"04/13/2021","1.125","1.112","1.125","1.112","1.17%"
"04/12/2021","1.112","1.162","1.162","1.112","-4.30%"
"04/09/2021","1.162","1.122","1.162","1.122","3.57%"
"04/08/2021","1.122","1.125","1.125","1.122","-0.27%"
"04/07/2021","1.125","1.123","1.125","1.123","0.18%"
"04/06/2021","1.123","1.100","1.123","1.100","2.09%"
"04/05/2021","1.100","1.100","1.100","1.100","-0.27%"
"04/02/2021","1.103","1.071","1.103","1.071","2.99%"
"04/01/2021","1.071","1.049","1.071","1.049","2.00%"
"03/31/2021","1.050","1.075","1.075","1.050","-2.33%"
"03/30/2021","1.075","1.060","1.075","1.060","1.42%"
"03/29/2021","1.060","1.072","1.072","1.060","-1.12%"
"03/26/2021","1.072","1.072","1.072","1.072","0.00%"
"03/25/2021","1.072","1.072","1.072","1.072","1.32%"
"03/24/2021","1.058","1.061","1.061","1.058","-0.28%"
"03/23/2021","1.061","1.061","1.061","1.061","-1.49%"
"03/22/2021","1.077","1.092","1.092","1.077","-1.37%"
"03/19/2021","1.092","1.085","1.092","1.085","0.65%"
"03/18/2021","1.085","1.097","1.097","1.085","-1.09%"
"03/17/2021","1.097","1.074","1.097","1.074","2.14%"
"03/16/2021","1.074","1.065","1.074","1.065","0.85%"
"03/15/2021","1.065","1.053","1.065","1.053","1.14%"
"03/12/2021","1.053","1.050","1.053","1.050","0.29%"
"03/11/2021","1.050","1.052","1.052","1.050","-0.19%"
"03/10/2021","1.052","1.080","1.080","1.052","-2.59%"
"03/09/2021","1.080","1.052","1.080","1.052","2.66%"
"03/08/2021","1.052","1.049","1.052","1.049","0.29%"
"03/05/2021","1.049","1.039","1.049","1.039","0.96%"
"03/04/2021","1.039","1.026","1.039","1.026","1.27%"
"03/03/2021","1.026","1.026","1.026","1.026","0.00%"
"03/02/2021","1.026","1.059","1.059","1.026","-3.12%"
"03/01/2021","1.059","1.099","1.099","1.059","-3.64%"
"02/26/2021","1.099","1.054","1.099","1.054","4.27%"
"02/25/2021","1.054","1.051","1.054","1.051","0.29%"
"02/24/2021","1.051","1.046","1.051","1.046","0.48%"
"02/23/2021","1.046","1.029","1.046","1.029","1.65%"
"02/22/2021","1.029","1.039","1.039","1.029","-1.06%"
"02/19/2021","1.040","1.064","1.064","1.040","-2.26%"
"02/18/2021","1.064","1.098","1.098","1.064","-1.66%"
"02/17/2021","1.082","1.098","1.098","1.082","3.24%"
"02/16/2021","1.048","1.048","1.048","1.048","0.00%"
"02/15/2021","1.048","1.048","1.048","1.048","0.00%"
"02/12/2021","1.048","1.048","1.048","1.048","33.67%"
"02/11/2021","0.784","1.048","1.048","0.784","-25.19%"
"02/10/2021","1.048","1.048","1.048","1.048","-4.55%"
"02/09/2021","1.098","1.076","1.098","1.076","2.04%"
"02/08/2021","1.076","1.093","1.093","1.076","-1.56%"
"02/05/2021","1.093","1.093","1.093","1.093","-11.71%"
"02/04/2021","1.238","1.173","1.238","1.173","0.00%"
"02/03/2021","1.238","1.173","1.238","1.173","5.63%"
"02/02/2021","1.172","1.183","1.183","1.172","-0.93%"
"02/01/2021","1.183","1.172","1.183","1.172","0.94%"
"01/29/2021","1.172","1.195","1.195","1.172","-1.92%"
"01/28/2021","1.195","1.151","1.195","1.151","3.82%"
"01/27/2021","1.151","1.133","1.151","1.133","1.59%"
"01/26/2021","1.133","1.131","1.133","1.131","0.18%"
"01/25/2021","1.131","1.131","1.131","1.131","2.72%"
"01/22/2021","1.101","1.046","1.101","1.046","5.26%"
"01/21/2021","1.046","1.046","1.046","1.046","3.16%"
"01/20/2021","1.014","0.944","1.014","0.944","7.42%"
"01/19/2021","0.944","0.999","0.999","0.944","-5.51%"
"01/18/2021","0.999","0.995","0.999","0.995","0.40%"
"01/15/2021","0.995","1.054","1.054","0.995","-5.60%"
"01/14/2021","1.054","1.096","1.096","1.054","-3.83%"
"01/13/2021","1.096","1.212","1.212","1.096","-9.57%"
"01/12/2021","1.212","1.224","1.224","1.212","-0.98%"
"01/11/2021","1.224","1.230","1.230","1.224","-0.49%"
"01/08/2021","1.230","1.230","1.250","1.230","-1.60%"
"01/07/2021","1.250","1.230","1.250","1.230","1.63%"
"01/06/2021","1.230","1.216","1.230","1.216","1.15%"
"01/05/2021","1.216","1.207","1.216","1.207","0.75%"
"01/04/2021","1.207","1.209","1.209","1.207","-0.17%"
"12/31/2020","1.209","1.145","1.209","1.145","5.59%"
"12/30/2020","1.145","1.143","1.145","1.145","0.17%"
"12/29/2020","1.143","1.145","1.145","1.143","-0.17%"
"12/28/2020","1.145","0.974","1.145","0.974","17.56%"
"12/25/2020","0.974","0.992","0.992","0.974","-1.72%"
"12/24/2020","0.991","1.024","1.024","0.991","-3.22%"
"12/23/2020","1.024","1.021","1.024","1.021","0.29%"
"12/22/2020","1.021","1.045","1.045","1.021","-2.30%"
"12/21/2020","1.045","1.070","1.070","1.045","-2.34%"
"12/18/2020","1.070","1.058","1.070","1.058","1.13%"
"12/17/2020","1.058","1.030","1.058","1.030","2.72%"
"12/16/2020","1.030","1.060","1.060","1.030","-2.83%"
"12/15/2020","1.060","1.098","1.098","1.060","-3.46%"
"12/14/2020","1.098","1.114","1.114","1.098","-1.44%"
"12/11/2020","1.114","1.142","1.142","1.114","-2.45%"
"12/10/2020","1.142","1.192","1.192","1.142","-4.19%"
"12/09/2020","1.192","1.178","1.192","1.178","1.19%"
"12/08/2020","1.178","1.184","1.184","1.178","-0.51%"
"12/07/2020","1.184","1.181","1.184","1.181","0.25%"
"12/04/2020","1.181","1.196","1.196","1.181","-1.25%"
"12/03/2020","1.196","1.216","1.216","1.196","-1.64%"
"12/02/2020","1.216","1.208","1.216","1.208","0.66%"
"12/01/2020","1.208","1.212","1.212","1.208","-0.33%"
"11/30/2020","1.212","1.225","1.225","1.212","-1.06%"
"11/27/2020","1.225","1.205","1.225","1.205","1.66%"
"11/26/2020","1.205","1.266","1.266","1.205","-4.82%"
"11/25/2020","1.266","1.271","1.271","1.266","-0.39%"
"11/24/2020","1.271","1.281","1.281","1.271","-0.78%"
"11/23/2020","1.281","1.277","1.281","1.277","0.31%"
"11/20/2020","1.277","1.272","1.277","1.272","0.39%"
"11/19/2020","1.272","1.293","1.293","1.272","-1.62%"
"11/18/2020","1.293","1.311","1.311","1.293","-1.37%"
"11/17/2020","1.311","1.341","1.341","1.311","-2.24%"
"11/16/2020","1.341","1.371","1.371","1.341","-2.19%"
"11/13/2020","1.371","1.376","1.376","1.371","-0.36%"
"11/12/2020","1.376","1.387","1.387","1.376","-0.79%"
"11/11/2020","1.387","1.394","1.394","1.387","-0.57%"
"11/10/2020","1.395","1.403","1.403","1.395","-0.57%"
"11/09/2020","1.403","1.403","1.403","1.382","1.45%"
"11/06/2020","1.383","1.369","1.383","1.369","0.80%"
"11/05/2020","1.372","1.400","1.400","1.372","-2.14%"
"11/04/2020","1.402","1.387","1.402","1.387","1.01%"
"11/03/2020","1.388","1.385","1.388","1.385","0.14%"
"11/02/2020","1.386","1.396","1.396","1.355","17.36%"
"10/30/2020","1.181","1.166","1.191","1.166","1.03%"
"10/29/2020","1.169","1.148","1.169","1.148","1.74%"
"10/28/2020","1.149","1.130","1.149","1.130","1.50%"
"10/27/2020","1.132","1.141","1.141","1.132","-0.88%"
"10/26/2020","1.142","1.110","1.142","1.110","2.79%"
"10/23/2020","1.111","1.109","1.111","1.109","-0.09%"
"10/22/2020","1.112","1.124","1.124","1.112","-1.16%"
"10/21/2020","1.125","1.125","1.125","1.109","1.35%"
"10/20/2020","1.110","1.128","1.128","1.110","-1.68%"
"10/19/2020","1.129","1.112","1.129","1.112","1.44%"
"10/16/2020","1.113","1.090","1.113","1.090","1.83%"
"10/15/2020","1.093","1.112","1.112","1.093","-1.80%"
"10/14/2020","1.113","1.116","1.116","1.113","-0.36%"
"10/13/2020","1.117","1.126","1.126","1.117","-0.89%"
"10/12/2020","1.127","1.127","1.128","1.115","0.99%"
"10/09/2020","1.116","1.111","1.116","1.111","0.18%"
"10/08/2020","1.114","1.114","1.123","1.114","-0.89%"
"10/07/2020","1.124","1.142","1.142","1.124","-1.66%"
"10/06/2020","1.143","1.125","1.143","1.125","1.51%"
"10/05/2020","1.126","1.143","1.143","1.126","-1.57%"
"10/02/2020","1.144","1.235","1.235","1.144","-7.52%"
"10/01/2020","1.237","1.341","1.341","1.237","-7.82%"
"09/30/2020","1.342","1.286","1.342","1.286","4.27%"
"09/29/2020","1.287","1.323","1.323","1.287","-2.79%"
"09/28/2020","1.324","1.345","1.345","1.324","-1.63%"
"09/25/2020","1.346","1.336","1.346","1.336","0.52%"
"09/24/2020","1.339","1.384","1.384","1.339","-3.32%"
"09/23/2020","1.385","1.337","1.385","1.337","3.59%"
"09/22/2020","1.337","1.320","1.337","1.320","1.21%"
"09/21/2020","1.321","1.364","1.364","1.321","-3.22%"
"09/18/2020","1.365","1.433","1.433","1.365","-4.94%"
"09/17/2020","1.436","1.449","1.449","1.436","-0.97%"
"09/16/2020","1.450","1.468","1.468","1.450","-1.29%"
"09/15/2020","1.469","1.462","1.469","1.462","0.41%"
"09/14/2020","1.463","1.504","1.504","1.463","-2.79%"
"09/11/2020","1.505","1.539","1.539","1.505","-2.46%"
"09/10/2020","1.543","1.581","1.581","1.543","-2.47%"
"09/09/2020","1.582","1.582","1.582","1.582","-0.06%"
"09/08/2020","1.583","1.613","1.613","1.583","-1.92%"
"09/07/2020","1.614","1.651","1.651","1.614","-2.30%"
"09/04/2020","1.652","1.646","1.652","1.646","0.12%"
"09/03/2020","1.650","1.644","1.650","1.644","3.45%"
"09/02/2020","1.595","1.595","1.595","1.595","-3.04%"
"09/01/2020","1.645","1.640","1.645","1.640","0.18%"
"08/31/2020","1.642","1.640","1.642","1.640","0.06%"
"08/28/2020","1.641","1.660","1.660","1.641","-1.32%"
"08/27/2020","1.663","1.668","1.668","1.663","-0.36%"
"08/26/2020","1.669","1.666","1.669","1.666","0.12%"
"08/25/2020","1.667","1.677","1.677","1.667","-0.66%"
"08/24/2020","1.678","1.671","1.678","1.671","0.36%"
"08/21/2020","1.672","1.674","1.674","1.672","-0.30%"
"08/20/2020","1.677","1.674","1.677","1.674","0.12%"
"08/19/2020","1.675","1.660","1.675","1.660","0.84%"
"08/18/2020","1.661","1.659","1.661","1.659","0.06%"
"08/17/2020","1.660","1.674","1.674","1.660","-0.95%"
"08/14/2020","1.676","1.679","1.679","1.676","-0.36%"
"08/13/2020","1.682","1.647","1.682","1.647","2.06%"
"08/12/2020","1.648","1.651","1.651","1.648","-0.30%"
"08/11/2020","1.653","1.671","1.671","1.653","-1.14%"
"08/10/2020","1.672","1.663","1.672","1.663","0.48%"
"08/07/2020","1.664","1.678","1.678","1.664","-1.01%"
"08/06/2020","1.681","1.683","1.683","1.681","-0.18%"
"08/05/2020","1.684","1.744","1.744","1.684","-3.55%"
"08/04/2020","1.746","1.769","1.769","1.746","-1.36%"
"08/03/2020","1.770","1.799","1.799","1.770","-1.67%"
"07/31/2020","1.800","1.813","1.813","1.800","-0.94%"
"07/30/2020","1.817","1.904","1.904","1.730","-4.62%"
"07/29/2020","1.905","1.815","1.905","1.815","4.90%"
"07/28/2020","1.816","1.794","1.816","1.794","1.17%"
"07/27/2020","1.795","1.743","1.795","1.743","2.87%"
"07/24/2020","1.745","1.747","1.747","1.745","-0.29%"
"07/23/2020","1.750","1.726","1.750","1.726","1.33%"
"07/22/2020","1.727","1.792","1.792","1.727","-3.68%"
"07/21/2020","1.793","1.807","1.807","1.793","-0.83%"
"07/20/2020","1.808","1.809","1.809","1.808","-0.17%"
"07/17/2020","1.811","1.812","1.812","1.811","-0.22%"
"07/16/2020","1.815","1.774","1.815","1.774","2.25%"
"07/15/2020","1.775","1.808","1.808","1.775","-1.88%"
"07/14/2020","1.809","1.903","1.903","1.805","-4.99%"
"07/13/2020","1.904","1.916","1.916","1.904","-0.68%"
"07/10/2020","1.917","1.924","1.924","1.917","-0.52%"
"07/09/2020","1.927","1.934","1.934","1.927","-0.41%"
"07/08/2020","1.935","1.948","1.948","1.935","-0.72%"
"07/07/2020","1.949","1.969","1.969","1.949","-1.07%"
"07/06/2020","1.970","1.978","1.978","1.970","-0.51%"
"07/03/2020","1.980","2.003","2.003","1.980","-1.25%"
"07/02/2020","2.005","1.986","2.005","1.986","0.91%"
"07/01/2020","1.987","2.010","2.020","1.987","3.33%"
"06/30/2020","1.923","1.917","1.923","1.917","0.26%"
"06/29/2020","1.918","1.917","1.918","1.917","0.00%"
"06/26/2020","1.918","1.929","1.929","1.918","-0.67%"
"06/25/2020","1.931","1.931","1.931","1.931","0.00%"
"06/24/2020","1.931","1.969","1.969","1.931","-1.98%"
"06/23/2020","1.970","2.066","2.066","1.970","-4.65%"
"06/22/2020","2.066","2.049","2.066","2.049","0.78%"
"06/19/2020","2.050","2.025","2.050","2.025","1.08%"
"06/18/2020","2.028","1.953","2.028","1.953","3.79%"
"06/17/2020","1.954","1.974","1.974","1.954","-1.06%"
"06/16/2020","1.975","1.971","1.975","1.971","0.15%"
"06/15/2020","1.972","1.941","1.972","1.941","1.54%"
"06/12/2020","1.942","1.901","1.942","1.901","2.05%"
"06/11/2020","1.903","1.952","1.952","1.903","-2.51%"
"06/10/2020","1.952","1.960","1.960","1.952","-0.46%"
"06/09/2020","1.961","1.977","1.977","1.961","-0.81%"
"06/08/2020","1.977","2.002","2.002","1.977","-1.30%"
"06/05/2020","2.003","2.000","2.003","2.000","0.05%"
"06/04/2020","2.002","2.034","2.034","2.002","-1.62%"
"06/03/2020","2.035","2.063","2.063","2.035","-1.41%"
"06/02/2020","2.064","2.111","2.111","2.064","-2.23%"
"06/01/2020","2.111","2.146","2.146","2.111","-0.38%"
"05/29/2020","2.119","2.127","2.127","2.119","-0.47%"
"05/28/2020","2.129","2.105","2.129","2.105","1.09%"
"05/27/2020","2.106","2.106","2.106","2.106","-0.05%"
"05/26/2020","2.107","2.069","2.107","2.069","1.79%"
"05/25/2020","2.070","1.964","2.070","1.964","5.40%"
"05/22/2020","1.964","1.914","1.964","1.914","2.51%"
"05/21/2020","1.916","1.969","1.969","1.916","-2.69%"
"05/20/2020","1.969","2.039","2.039","1.969","-3.48%"
"05/19/2020","2.040","2.092","2.092","2.040","-2.53%"
"05/18/2020","2.093","2.101","2.101","2.093","-0.38%"
"05/15/2020","2.101","2.063","2.101","2.063","1.79%"
"05/14/2020","2.064","2.058","2.064","2.058","0.29%"
"05/13/2020","2.058","2.062","2.062","2.058","-0.24%"
"05/12/2020","2.063","2.098","2.098","2.063","-1.67%"
"05/11/2020","2.098","2.151","2.151","2.098","-2.46%"
"05/08/2020","2.151","2.250","2.250","2.151","-4.44%"
"05/07/2020","2.251","2.212","2.251","2.212","1.76%"
"05/06/2020","2.212","2.224","2.224","2.212","-0.58%"
"05/05/2020","2.225","2.300","2.300","2.225","-3.26%"
"05/04/2020","2.300","2.403","2.403","2.300","-0.13%"
"05/01/2020","2.303","2.303","2.303","2.303","0.00%"
"04/30/2020","2.303","2.303","2.303","2.303","-4.16%"
"04/29/2020","2.403","2.346","2.403","2.346","2.34%"
"04/28/2020","2.348","2.356","2.356","2.348","-0.38%"
"04/27/2020","2.357","2.425","2.425","2.357","-2.84%"
"04/24/2020","2.426","2.444","2.444","2.426","-0.82%"
"04/23/2020","2.446","2.556","2.556","2.446","-4.30%"
"04/22/2020","2.556","2.552","2.556","2.552","0.12%"
"04/21/2020","2.553","2.522","2.553","2.522","1.19%"
"04/20/2020","2.523","2.559","2.559","2.523","-1.45%"
"04/17/2020","2.560","2.544","2.560","2.544","0.59%"
"04/16/2020","2.545","2.653","2.653","2.545","-4.11%"
"04/15/2020","2.654","2.596","2.654","2.596","2.23%"
"04/14/2020","2.596","2.574","2.596","2.574","0.82%"
"04/13/2020","2.575","2.695","2.695","2.575","-4.49%"
"04/10/2020","2.696","2.616","2.696","2.616","2.98%"
"04/09/2020","2.618","2.573","2.618","2.573","1.75%"
"04/08/2020","2.573","2.706","2.706","2.573","-4.95%"
"04/07/2020","2.707","2.940","2.940","2.707","-7.93%"
"04/06/2020","2.940","3.073","3.073","2.940","-4.33%"
"04/03/2020","3.073","3.050","3.073","3.050","4.15%"
"04/02/2020","2.951","2.951","2.951","2.951","-3.26%"
"04/01/2020","3.050","2.833","3.050","2.833","7.66%"
"03/31/2020","2.833","2.786","2.833","2.786","1.65%"
"03/30/2020","2.787","2.615","2.787","2.615","6.54%"
"03/27/2020","2.616","2.344","2.616","2.344","11.56%"
"03/26/2020","2.345","2.198","2.345","2.198","6.69%"
"03/25/2020","2.198","2.302","2.302","2.198","-4.52%"
"03/24/2020","2.302","2.294","2.302","2.294","0.31%"
"03/23/2020","2.295","2.154","2.295","2.154","6.55%"
"03/20/2020","2.154","2.161","2.161","2.154","-0.32%"
"03/19/2020","2.161","2.023","2.161","2.023","6.82%"
"03/18/2020","2.023","1.996","2.023","1.996","1.30%"
"03/17/2020","1.997","1.997","1.997","1.997","2.41%"
"03/16/2020","1.950","1.931","1.950","1.931","0.93%"
"03/13/2020","1.932","1.880","1.932","1.880","2.71%"
"03/12/2020","1.881","1.836","1.881","1.836","2.45%"
"03/11/2020","1.836","1.864","1.864","1.836","-1.50%"
"03/10/2020","1.864","1.736","1.864","1.736","7.37%"
"03/09/2020","1.736","1.723","1.736","1.723","0.75%"
"03/06/2020","1.723","1.768","1.768","1.723","-2.55%"
"03/05/2020","1.768","1.758","1.768","1.758","0.57%"
"03/04/2020","1.758","1.964","1.964","1.758","-10.49%"
"03/03/2020","1.964","1.976","1.976","1.964","-0.61%"
"03/02/2020","1.976","2.052","2.052","1.976","-3.70%"
"02/28/2020","2.052","2.041","2.052","2.041","0.44%"
"02/27/2020","2.043","2.043","2.043","2.043","0.05%"
"02/26/2020","2.042","2.042","2.042","2.042","0.00%"
"02/25/2020","2.042","2.145","2.145","2.042","-4.80%"
"02/24/2020","2.145","2.058","2.145","2.058","4.23%"
"02/21/2020","2.058","1.948","2.058","1.948","5.65%"
"02/20/2020","1.948","1.951","1.951","1.948","-0.15%"
"02/19/2020","1.951","1.942","1.951","1.942","0.46%"
"02/18/2020","1.942","1.980","1.980","1.942","-1.92%"
"02/17/2020","1.980","2.067","2.067","1.980","-4.21%"
"02/14/2020","2.067","2.056","2.067","2.027","0.54%"
"02/13/2020","2.056","2.134","2.134","2.056","-3.66%"
"02/12/2020","2.134","2.182","2.182","2.134","-2.20%"
"02/11/2020","2.182","2.195","2.195","2.182","-0.59%"
"02/10/2020","2.195","2.089","2.195","2.089","5.07%"
"02/07/2020","2.089","2.127","2.127","2.089","-1.83%"
"02/06/2020","2.128","2.188","2.188","2.128","-2.74%"
"02/05/2020","2.188","2.266","2.266","2.188","-3.48%"
"02/04/2020","2.267","2.224","2.267","2.224","1.89%"
"02/03/2020","2.225","2.005","2.225","2.005","10.97%"
"01/31/2020","2.005","1.956","2.005","1.956","2.45%"
"01/30/2020","1.957","1.922","1.957","1.922","7.41%"
"01/29/2020","1.822","1.822","1.822","1.822","0.00%"
"01/28/2020","1.822","1.822","1.822","1.822","0.00%"
"01/27/2020","1.822","1.822","1.822","1.822","0.00%"
"01/24/2020","1.822","1.822","1.822","1.822","0.00%"
"01/23/2020","1.822","1.822","1.822","1.822","-5.40%"
"01/22/2020","1.926","1.920","1.926","1.920","0.26%"
"01/21/2020","1.921","1.727","1.921","1.727","11.23%"
"01/20/2020","1.727","1.706","1.727","1.706","1.17%"
"01/17/2020","1.707","1.714","1.714","1.707","-0.52%"
"01/16/2020","1.716","1.680","1.716","1.680","2.14%"
"01/15/2020","1.680","1.774","1.774","1.680","-5.30%"
"01/14/2020","1.774","1.856","1.856","1.774","-4.47%"
"01/13/2020","1.857","1.879","1.879","1.857","-1.17%"
"01/10/2020","1.879","1.871","1.879","1.871","0.27%"
"01/09/2020","1.874","1.823","1.874","1.823","2.74%"
"01/08/2020","1.824","1.896","1.896","1.824","-3.85%"
"01/07/2020","1.897","1.897","1.897","1.897","-2.47%"
"01/06/2020","1.945","1.987","1.987","1.945","-2.16%"
"01/03/2020","1.988","2.052","2.052","1.988","-3.26%"
"01/02/2020","2.055","2.044","2.055","2.044","8.16%"
"01/01/2020","1.900","1.900","1.900","1.900","-5.00%"
"12/31/2019","2.000","1.988","2.000","1.988","0.60%"
"12/30/2019","1.988","1.971","1.988","1.971","0.86%"
"12/27/2019","1.971","1.956","1.971","1.956","0.72%"
"12/26/2019","1.957","1.948","1.957","1.948","0.46%"
"12/25/2019","1.948","2.033","2.033","1.948","-4.18%"
"12/24/2019","2.033","2.062","2.062","2.033","-1.41%"
"12/23/2019","2.062","2.066","2.066","2.062","-0.15%"
"12/20/2019","2.065","2.065","2.065","2.065","0.00%"
"12/19/2019","2.065","2.095","2.095","2.065","-1.43%"
"12/18/2019","2.095","2.119","2.119","2.095","-1.18%"
"12/17/2019","2.120","2.125","2.125","2.120","-0.24%"
"12/16/2019","2.125","2.125","2.125","2.125","0.00%"
"12/13/2019","2.125","2.139","2.139","2.125","-0.70%"
"12/12/2019","2.140","2.137","2.140","2.137","0.09%"
"12/11/2019","2.138","2.163","2.163","2.138","-1.20%"
"12/10/2019","2.164","2.141","2.164","2.141","1.07%"
"12/09/2019","2.141","2.102","2.141","2.102","1.81%"
"12/06/2019","2.103","2.293","2.293","2.103","-8.33%"
"12/05/2019","2.294","2.413","2.413","2.294","-4.97%"
"12/04/2019","2.414","2.444","2.444","2.384","-1.23%"
"12/03/2019","2.444","2.437","2.444","2.437","0.29%"
"12/02/2019","2.437","2.384","2.437","2.384","2.22%"
"11/29/2019","2.384","2.342","2.471","2.342","1.75%"
"11/28/2019","2.343","2.365","2.365","2.343","-0.93%"
"11/27/2019","2.365","2.531","2.531","2.365","-6.56%"
"11/26/2019","2.531","2.469","2.531","2.469","2.51%"
"11/25/2019","2.469","2.488","2.488","2.469","-0.80%"
"11/22/2019","2.489","2.514","2.514","2.489","-1.03%"
"11/21/2019","2.515","2.472","2.515","2.472","1.74%"
"11/20/2019","2.472","2.428","2.472","2.428","1.81%"
"11/19/2019","2.428","2.395","2.428","2.395","1.38%"
"11/18/2019","2.395","2.381","2.395","2.315","0.59%"
"11/15/2019","2.381","2.534","2.534","2.381","-6.04%"
"11/14/2019","2.534","2.558","2.558","2.534","-0.94%"
"11/13/2019","2.558","2.522","2.558","2.522","1.43%"
"11/12/2019","2.522","2.552","2.552","2.522","-1.18%"
"11/11/2019","2.552","2.500","2.552","2.500","2.04%"
"11/08/2019","2.501","2.500","2.501","2.451","0.00%"
"11/07/2019","2.501","2.601","2.601","2.501","-3.84%"
"11/06/2019","2.601","2.617","2.617","2.601","-0.61%"
"11/05/2019","2.617","2.628","2.628","2.617","-0.42%"
"11/04/2019","2.628","2.529","2.628","2.529","3.91%"
"11/01/2019","2.529","2.543","2.543","2.529","0.28%"
"10/31/2019","2.522","2.567","2.567","2.522","-1.75%"
"10/30/2019","2.567","2.601","2.601","2.567","-1.31%"
"10/29/2019","2.601","2.683","2.683","2.601","-3.06%"
"10/28/2019","2.683","2.645","2.683","2.645","1.44%"
"10/25/2019","2.645","2.610","2.675","2.610","1.30%"
"10/24/2019","2.611","2.580","2.611","2.580","1.20%"
"10/23/2019","2.580","2.643","2.643","2.580","-2.38%"
"10/22/2019","2.643","2.708","2.708","2.643","-2.40%"
"10/21/2019","2.708","2.748","2.748","2.708","-1.46%"
"10/18/2019","2.748","2.744","2.748","2.744","0.15%"
"10/17/2019","2.744","2.801","2.801","2.744","-2.03%"
"10/16/2019","2.801","2.898","2.898","2.801","-3.38%"
"10/15/2019","2.899","2.940","2.940","2.899","-1.39%"
"10/14/2019","2.940","2.954","2.954","2.940","-0.47%"
"10/11/2019","2.954","2.947","2.954","2.947","0.24%"
"10/10/2019","2.947","3.006","3.006","2.947","-1.96%"
"10/09/2019","3.006","3.009","3.009","3.006","-0.10%"
"10/08/2019","3.009","3.042","3.042","3.009","-1.08%"
"10/07/2019","3.042","3.061","3.061","3.042","-0.65%"
"10/04/2019","3.062","3.070","3.070","3.062","-0.29%"
"10/03/2019","3.071","3.055","3.071","3.055","0.52%"
"10/02/2019","3.055","3.051","3.055","3.051","0.13%"
"10/01/2019","3.051","3.079","3.079","3.051","-0.91%"
"09/30/2019","3.079","3.088","3.088","3.079","-0.29%"
"09/27/2019","3.088","3.052","3.088","3.052","1.18%"
"09/26/2019","3.052","3.015","3.052","3.015","1.23%"
"09/25/2019","3.015","2.987","3.015","2.987","0.94%"
"09/24/2019","2.987","3.020","3.020","2.987","-1.09%"
"09/23/2019","3.020","2.969","3.020","2.969","1.72%"
"09/20/2019","2.969","2.953","2.969","2.953","0.54%"
"09/19/2019","2.953","2.977","2.977","2.953","-0.81%"
"09/18/2019","2.977","3.064","3.064","2.977","-2.84%"
"09/17/2019","3.064","3.009","3.064","3.009","1.79%"
"09/16/2019","3.010","2.947","3.010","2.947","2.14%"
"09/13/2019","2.947","3.072","3.072","2.947","-4.10%"
"09/12/2019","3.073","3.239","3.239","3.073","-5.13%"
"09/11/2019","3.239","3.280","3.280","3.239","-1.25%"
"09/10/2019","3.280","3.293","3.293","3.280","-0.39%"
"09/09/2019","3.293","3.262","3.293","3.262","0.95%"
"09/06/2019","3.262","3.249","3.262","3.249","0.37%"
"09/05/2019","3.250","3.270","3.270","3.250","-0.64%"
"09/04/2019","3.271","3.288","3.288","3.271","-0.55%"
"09/03/2019","3.289","3.291","3.291","3.289","-0.09%"
"09/02/2019","3.292","3.292","3.292","3.292","0.00%"
"08/30/2019","3.292","3.314","3.314","3.292","-0.72%"
"08/29/2019","3.316","3.310","3.316","3.310","0.18%"
"08/28/2019","3.310","3.383","3.383","3.310","-2.16%"
"08/27/2019","3.383","3.348","3.383","3.348","1.05%"
"08/26/2019","3.348","3.219","3.348","3.219","3.98%"
"08/23/2019","3.220","3.258","3.258","3.220","-1.20%"
"08/22/2019","3.259","3.350","3.350","3.259","-2.75%"
"08/21/2019","3.351","3.364","3.364","3.351","-0.39%"
"08/20/2019","3.364","3.389","3.389","3.364","-0.74%"
"08/19/2019","3.389","3.374","3.389","3.374","0.44%"
"08/16/2019","3.374","3.293","3.374","3.293","2.43%"
"08/15/2019","3.294","3.456","3.456","3.294","-4.69%"
"08/14/2019","3.456","3.491","3.491","3.456","-1.03%"
"08/13/2019","3.492","3.531","3.531","3.492","-1.10%"
"08/12/2019","3.531","3.531","3.531","3.531","0.28%"
"08/09/2019","3.521","3.555","3.555","3.521","-0.98%"
"08/08/2019","3.556","3.566","3.566","3.556","-0.31%"
"08/07/2019","3.567","3.561","3.567","3.561","0.17%"
"08/06/2019","3.561","3.546","3.561","3.546","0.39%"
"08/05/2019","3.547","3.513","3.547","3.513","0.94%"
"08/02/2019","3.514","3.508","3.514","3.508","0.11%"
"08/01/2019","3.510","3.493","3.510","3.493","0.49%"
"07/31/2019","3.493","3.559","3.559","3.493","-1.85%"
"07/30/2019","3.559","3.581","3.581","3.559","-0.64%"
"07/29/2019","3.582","3.601","3.601","3.582","-0.56%"
