,variable,MSE,RMSE,MAE
0,gold,327.65662,18.101288,10.571769
1,russell2000,592.49713,24.341265,15.235763
2,dow_jones,96080.61,309.96872,174.79758
3,msci_world,607.2192,24.641817,14.351362
4,nasdaq100,32177.646,179.38129,105.66627
5,s_p500,1789.5302,42.302837,24.440968
6,Total,21929.164,148.08499,57.5106
