,variable,MSE,RMSE,MAE
0,gold,1249.176,35.343685,11.494765
1,us_2_year_bond,0.003303691,0.057477742,0.030123686
2,us_3_month_bond,0.00595173,0.077147454,0.015094181
3,us_5_year_bond,0.19577,0.44245905,0.047601003
4,us_10_year_bond,10.231934,3.1987393,0.14128485
5,Total,251.92253,15.872067,2.3457727
