,variable,MSE,RMSE,MAE
0,gold,325.50363,18.04172,10.495894
1,oil,2.296977,1.5155782,0.88689786
2,us_dollar,0.14294343,0.3780786,0.24186656
3,usd_vnd,990.1361,31.466429,14.7963085
4,cpi,0.050866663,0.22553639,0.03676909
5,inflation_rate,0.002735305,0.052300144,0.0072711003
6,interest_rate,0.0017444894,0.041767087,0.004676922
7,Total,188.30498,13.722426,3.7813835
