,variable,MSE,RMSE,MAE
0,gold,397.11594,19.927769,11.144209
1,us_2_year_bond,0.0053673517,0.073262215,0.03357112
2,us_3_month_bond,0.0027543036,0.05248146,0.018399455
3,us_5_year_bond,0.00857737,0.09261409,0.040183622
4,us_10_year_bond,10.2227125,3.1972976,0.14054038
5,Total,81.471054,9.026132,2.2753825
