,variable,MSE,RMSE,MAE
0,gold,328.19022,18.11602,10.552762
1,oil,2.3043807,1.5180186,0.8978786
2,us_dollar,0.14276066,0.37783682,0.23501824
3,usd_vnd,1002.32086,31.65945,15.092803
4,cpi,0.05107701,0.22600223,0.0390509
5,inflation_rate,0.0027349433,0.052296687,0.0074215303
6,interest_rate,0.0017475013,0.041803125,0.00463552
7,Total,190.43044,13.799653,3.8327935
