gold,oil,us_dollar,usd_vnd,cpi,inflation_rate,interest_rate,date
3363.5999,61.53,98.93,25946.002,319.615,-0.1,4.33,2025-05-29
3363.5999,61.29,99.776,25897.0,319.615,-0.1,4.33,2025-05-30
