gold,russell2000,dow_jones,msci_world,nasdaq100,s_p500,date
3311.1655,2048.3513,41850.902,3829.5918,18876.414,5844.8564,2025-05-29
3292.3296,2045.5122,41859.258,3818.9465,18925.33,5841.963,2025-05-30
3363.596,2039.8488,41603.117,3802.7942,18737.219,5802.8203,2025-05-31
3363.599,2039.8501,41603.066,3802.8005,18737.21,5802.8193,2025-06-01
3363.5999,2039.8501,41603.066,3802.8003,18737.21,5802.8193,2025-06-02
3363.5999,2039.8501,41603.066,3813.8997,18737.21,5802.8193,2025-06-03
3363.5999,2090.4,42343.65,3867.2397,19199.16,5921.54,2025-06-04
