gold,russell2000,dow_jones,msci_world,nasdaq100,s_p500,date
3363.5999,2039.8501,41603.066,3802.8003,18737.21,5802.8203,2025-05-31
3363.5999,2039.8501,41603.066,3802.8003,18737.21,5802.8203,2025-06-01
3363.5999,2039.8501,41603.066,3802.8003,18737.21,5802.8203,2025-06-02
3363.5999,2039.8501,41603.066,3813.8997,18737.21,5802.8203,2025-06-03
3299.1,2090.4,42343.65,3869.1,19199.16,5921.54,2025-06-04
3293.6003,2067.8,42098.695,3845.7,19100.94,5888.55,2025-06-05
3317.1,2074.78,42215.73,3862.3003,19175.87,5912.17,2025-06-06
