gold,us_2_year_bond,us_3_month_bond,us_5_year_bond,us_10_year_bond,date
3364.1619,3.9419274,4.22994,4.078286,4.5096474,2025-06-11
3363.5325,3.9407742,4.2300177,4.0780225,4.5089154,2025-06-12
3363.6082,3.941057,4.229995,4.0779805,4.509012,2025-06-13
3299.0989,3.974985,4.2030015,4.023007,4.433998,2025-06-14
3293.6003,3.980004,4.2249994,4.064998,4.4770007,2025-06-15
3317.1,3.9339988,4.23,3.9980004,4.424,2025-06-16
3288.9,3.9100006,4.232,3.9789999,4.416,2025-06-17
3313.1,3.846,4.232,3.9789999,4.416,2025-06-18
3313.1,3.846,4.232,3.9789999,4.416,2025-06-19
3370.6,3.872,4.232,4.017,4.462,2025-06-20
3383.5002,3.902,4.235,4.028,4.46,2025-06-21
3394.0,3.906,4.24,3.932,4.365,2025-06-22
3350.7,3.8470001,4.232,3.989,4.394,2025-06-23
3350.7,3.8470001,4.232,3.989,4.394,2025-06-24
3350.7,3.8470001,4.232,3.989,4.394,2025-06-25
3350.7,3.8470001,4.232,3.989,4.394,2025-06-26
3338.4,3.9749997,4.2400002,4.086,4.482,2025-06-27
