Date,Close,High,Low,Open,Volume
,^IXIC,^IXIC,^IXIC,^IXIC,^IXIC
2025-03-07,18196.220703125,18243.580078125,17768.58984375,18029.849609375,8135420000
2025-03-10,17468.3203125,17868.080078125,17291.8203125,17840.3203125,8636040000
2025-03-11,17436.099609375,17687.400390625,17238.240234375,17443.08984375,9177320000
2025-03-12,17648.44921875,17800.099609375,17436.26953125,17711.41015625,7746430000
2025-03-13,17303.009765625,17621.91015625,17239.439453125,17598.560546875,7147050000
2025-03-14,17754.08984375,17773.48046875,17491.080078125,17523.30078125,7093850000
2025-03-17,17808.66015625,17925.939453125,17645.869140625,17722.5390625,6306340000
2025-03-18,17504.119140625,17682.919921875,17431.669921875,17662.5703125,6450530000
2025-03-19,17750.7890625,17917.5390625,17533.939453125,17590.119140625,6302310000
2025-03-20,17691.630859375,17903.19921875,17576.8203125,17586.060546875,6098330000
2025-03-21,17784.05078125,17798.060546875,17474.810546875,17519.83984375,8837930000
2025-03-24,18188.58984375,18210.05078125,18030.6796875,18046.189453125,6787790000
2025-03-25,18271.859375,18281.130859375,18170.419921875,18207.970703125,6475790000
2025-03-26,17899.01953125,18236.55078125,17837.259765625,18217.330078125,9091510000
2025-03-27,17804.029296875,17988.01953125,17743.80078125,17811.240234375,8002470000
2025-03-28,17322.990234375,17763.279296875,17283.060546875,17722.08984375,7015410000
2025-03-31,17299.2890625,17334.98046875,16854.369140625,17045.439453125,8122180000
2025-04-01,17449.890625,17506.58984375,17149.359375,17221.55078125,7756540000
2025-04-02,17601.05078125,17716.51953125,17181.26953125,17207.009765625,9126630000
2025-04-03,16550.609375,16889.33984375,16533.0390625,16790.529296875,9461330000
2025-04-04,15587.7900390625,16128.16015625,15575.6796875,16045.599609375,11038180000
2025-04-07,15603.259765625,16292.2802734375,14784.0302734375,14978.0302734375,12483580000
2025-04-08,15267.91015625,16316.509765625,15053.3896484375,16181.0400390625,10496650000
2025-04-09,17124.970703125,17202.939453125,15270.2802734375,15295.4404296875,13479740000
2025-04-10,16387.310546875,16712.369140625,15894.26953125,16635.44921875,11861670000
2025-04-11,16724.4609375,16753.41015625,16228.0400390625,16358.5302734375,9444890000
2025-04-14,16831.48046875,17136.560546875,16661.259765625,17120.439453125,9667260000
2025-04-15,16823.169921875,16979.9609375,16753.220703125,16842.390625,7483050000
2025-04-16,16307.16015625,16600.369140625,16066.4599609375,16499.689453125,7909190000
2025-04-17,16286.4501953125,16408.509765625,16181.169921875,16399.970703125,7046290000
2025-04-21,15870.900390625,16066.7900390625,15685.330078125,16052.759765625,6678730000
2025-04-22,16300.419921875,16410.560546875,16038.73046875,16079.9404296875,6981900000
2025-04-23,16708.05078125,17029.859375,16642.66015625,16880.2890625,8564870000
2025-04-24,17166.0390625,17174.349609375,16744.970703125,16754.759765625,7607400000
2025-04-25,17382.939453125,17404.490234375,17110.720703125,17182.109375,7412930000
2025-04-28,17366.130859375,17467.349609375,17128.7109375,17390.9296875,10313290000
2025-04-29,17461.3203125,17500.419921875,17256.19921875,17270.759765625,13001930000
2025-04-30,17446.33984375,17483.8203125,16959.529296875,17099.98046875,8595330000
2025-05-01,17710.740234375,17922.830078125,17688.109375,17793.140625,8409690000
2025-05-02,17977.73046875,18048.830078125,17812.0390625,17868.759765625,8180190000
2025-05-05,17844.240234375,17965.640625,17792.080078125,17817.009765625,7075320000
2025-05-06,17689.66015625,17830.349609375,17592.880859375,17623.2109375,6958220000
2025-05-07,17738.16015625,17820.2890625,17503.009765625,17706.830078125,7977870000
2025-05-08,17928.140625,18096.0,17776.0,17920.150390625,8500390000
2025-05-09,17928.919921875,18068.900390625,17853.83984375,18022.55078125,8835140000
2025-05-12,18708.33984375,18710.220703125,18472.7109375,18674.560546875,10717670000
2025-05-13,19010.08984375,19065.9609375,18745.5,18761.23046875,9242230000
2025-05-14,19146.810546875,19174.55078125,19023.609375,19074.720703125,11744820000
2025-05-15,19112.3203125,19207.220703125,18967.779296875,19031.240234375,10546350000
2025-05-16,19211.099609375,19213.419921875,19038.48046875,19151.5390625,10509820000
2025-05-19,19215.4609375,19227.220703125,18937.419921875,18937.419921875,13080030000
2025-05-20,19142.7109375,19186.689453125,19015.630859375,19132.060546875,9047100000
2025-05-21,18872.640625,19241.41015625,18799.19921875,19002.939453125,11112460000
2025-05-22,18925.740234375,19061.109375,18840.33984375,18888.05078125,8289710000
2025-05-23,18737.2109375,18841.51953125,18599.689453125,18622.380859375,8730370000
2025-05-27,19199.16015625,19210.94921875,18961.689453125,19014.439453125,93974540000
2025-05-28,19100.939453125,19276.830078125,19084.380859375,19232.619140625,8087530000
