russell2000,dow_jones,msci_world,nasdaq100,s_p500,gold
1563.49,26753.172,2183.0,7738.0503,994.8,1394.1
1549.6301,26719.13,2178.2,7728.78,994.8,1397.3
1549.6301,26719.13,2178.2,7728.78,994.8,1397.3
1549.6301,26719.13,2178.2,7728.78,994.8,1397.3
1530.08,26727.54,2178.2,7723.0205,994.8,1415.2
1521.04,26548.22,2163.7,7591.5405,994.8,1415.8
1521.89,26536.818,2158.4,7627.0493,994.8,1411.5
1546.55,26526.58,2166.5,7657.0503,994.8,1412.0
1566.57,26599.96,2178.4,7671.08,994.8,1413.7
1566.57,26599.96,2178.4,7671.08,994.8,1413.7
1566.57,26599.96,2178.4,7671.08,994.8,1413.7
1566.57,26717.43,2192.2,7768.1396,994.8,1389.3
1560.54,26786.68,2198.6,7799.82,994.8,1408.0
1572.12,26966.0,2213.4,7857.6895,994.8,1420.9
1572.12,26966.0,2213.4,7857.6895,994.8,1400.1
1575.6199,26922.12,2205.6,7841.3,994.8,1400.1
1575.6199,26922.12,2205.6,7841.3,994.8,1400.1
1575.6199,26922.12,2205.6,7841.3,994.8,1400.1
1561.39,26806.14,2194.6,7785.79,994.8,1400.0
1562.59,26783.49,2193.7,7826.86,994.8,1400.5
1565.05,26860.2,2201.1,7903.4004,994.8,1412.5
1557.92,27088.08,2205.4,7896.7803,994.8,1406.7
1570.0,27332.03,2212.7,7943.2407,994.8,1412.2
1570.0,27332.03,2212.7,7943.2407,994.8,1412.2
1570.0,27332.03,2212.7,7943.2407,994.8,1412.2
1561.82,27359.16,2214.3,7966.93,994.8,1413.5
1562.0,27335.63,2208.1,7927.08,994.8,1411.2
1550.78,27219.85,2197.9,7888.7603,994.8,1423.3
1555.6199,27222.97,2198.4,7904.13,994.8,1428.1
1547.9,27154.2,2194.6,7834.8994,994.8,1426.7
1547.9,27154.2,2194.6,7834.8994,994.8,1426.7
1547.9,27154.2,2194.6,7834.8994,994.8,1426.7
1544.78,27171.898,2197.7,7905.1206,994.8,1426.9
1554.96,27349.19,2209.6,7954.5596,994.8,1421.7
1580.4202,27269.973,2217.8,8010.61,994.8,1423.6
1561.4501,27140.979,2206.9,7929.8706,994.8,1414.7
1578.9701,27192.45,2215.7,8016.95,994.8,1419.3
1578.9701,27192.45,2215.7,8016.95,994.8,1419.3
1578.9701,27192.45,2215.7,8016.95,994.8,1419.3
1569.03,27221.348,2212.5,7989.08,994.8,1420.4
1585.5999,27198.02,2203.4,7952.4697,994.8,1433.4
1574.61,26864.271,2187.6,7848.78,994.8,1429.1
1550.76,26583.42,2173.2,7801.1494,994.8,1424.2
1533.66,26485.01,2150.0,7692.8,994.8,1448.7
1533.66,26485.01,2150.0,7692.8,994.8,1448.7
1533.66,26485.01,2150.0,7692.8,994.8,1448.7
1487.41,25717.74,2097.3,7415.69,994.8,1467.7
1502.09,26029.52,2109.2,7521.3193,994.8,1475.2
1500.69,26007.07,2114.1,7551.9,994.8,1509.6
1532.13,26378.19,2146.9,7724.8296,994.8,1499.7
1513.04,26287.44,2135.3,7646.27,994.8,1498.6
1513.04,26287.44,2135.3,7646.27,994.8,1498.6
1513.04,26287.44,2135.3,7646.27,994.8,1498.6
1495.8999,25896.44,2117.7,7561.68,994.8,1507.7
1510.58,26279.912,2134.5,7728.15,994.8,1504.3
1467.52,25479.42,2086.3,7490.1294,994.8,1518.5
1461.65,25579.39,2082.8,7484.89,994.8,1521.7
1493.64,25886.008,2108.5,7604.11,994.8,1514.1
1493.64,25886.008,2108.5,7604.11,994.8,1514.1
1493.64,25886.008,2108.5,7604.11,994.8,1514.1
1508.8499,26135.79,2131.8,7719.3193,994.8,1502.1
1498.01,25962.438,2119.6,7664.47,994.8,1506.3
1509.8501,26202.73,2135.5,7733.22,994.8,1506.1
1506.0,26252.24,2131.7,7707.4307,994.8,1498.7
1459.49,25628.9,2094.6,7464.9897,994.8,1527.9
1459.49,25628.9,2094.6,7464.9897,994.8,1527.9
1459.49,25628.9,2094.6,7464.9897,994.8,1527.9
1476.0,25898.83,2105.2,7575.02,994.8,1527.2
1456.04,25777.9,2104.9,7566.0293,994.8,1541.4
