russell2000,dow_jones,msci_world,nasdaq100,s_p500,gold
2164.716,43852.406,3806.5312,20885.201,997.0173,2850.0645
2161.8704,43874.273,3791.65,20898.438,993.21954,2847.6196
2162.2368,43837.45,3799.378,20894.242,996.4494,2846.3965
2105.823,43212.76,3779.2239,20435.412,992.5794,2904.2114
2076.8184,42522.086,3724.9607,20337.59,995.82043,2919.8044
2102.3738,43024.73,3776.9788,20641.074,994.1037,2926.026
2066.6282,42574.727,3734.375,20047.441,995.3341,2926.649
