russell2000,dow_jones,msci_world,nasdaq100,s_p500,gold
2164.2603,43838.652,3813.084,20883.004,995.20776,2849.148
2162.931,43838.324,3804.933,20885.078,994.6495,2848.678
2163.077,43840.973,3805.2913,20884.336,994.822,2848.4897
2102.2395,43191.24,3770.299,20425.58,994.7965,2901.0996
2079.53,42520.992,3724.6997,20352.53,994.80054,2920.6003
2100.75,43006.59,3777.6,20628.46,994.7999,2926.0002
2066.55,42579.08,3730.9,20052.63,994.8,2926.6
